№,Район,Оценка,"Стоимость, руб./сут.","Предоплата, руб.","Площадь, м^2",Кол-во гостей,Курение,Вечеринки,балкон / лоджия,Спальные места,Этаж,Кол-во кроватей,Питомцы,Лифт,Парковка,Страховой депозит,Ремонт
2,Октябрьский,"9,40",2520,630,25,2,нет,да,да,1,Верхний,1,нет,да,да,1000,евроремонт
3,Октябрьский,"10,00",2300,460,30,2,нет,нет,да,2,Верхний,1,да,да,да,1000,евроремонт
4,Октябрьский,"10,00",3300,660,48,2,нет,да,да,2,Верхний,2,да,да,да,1000,евроремонт
5,Октябрьский,"9,90",2290,458,42,4,нет,нет,да,2,Верхний,2,да,да,да,1000,евроремонт
6,Октябрьский,"10,00",4125,1031,37,4,нет,да,да,2,Верхний,2,нет,да,да,1000,евроремонт
7,Октябрьский,"10,00",3540,885,37,4,нет,да,да,2,Верхний,2,нет,да,да,1000,евроремонт
11,Октябрьский,"9,90",2290,458,46,6,нет,да,да,3,Верхний,3,да,да,да,1000,евроремонт
12,Октябрьский,"9,90",2690,404,43,4,да,нет,да,2,Верхний,2,да,да,да,1500,евроремонт
13,Октябрьский,"9,60",2862,572,20,8,нет,да,да,1,Верхний,1,нет,да,да,1500,евроремонт
14,Октябрьский,"10,00",3600,720,27,1,нет,нет,да,1,Верхний,1,да,да,да,2000,евроремонт
15,Октябрьский,"9,50",2800,560,40,2,нет,да,да,2,Верхний,1,да,да,да,2000,евроремонт
16,Октябрьский,"10,00",4375,875,37,3,нет,да,да,2,Верхний,2,нет,да,да,2000,евроремонт
18,Октябрьский,"7,80",3200,640,56,4,нет,да,да,4,Верхний,2,да,да,да,2000,евроремонт
19,Октябрьский,"9,60",2940,588,30,4,нет,нет,да,2,Верхний,2,да,да,да,2000,евроремонт
20,Октябрьский,"9,60",2200,440,36,4,нет,нет,да,2,Верхний,2,да,да,да,2000,евроремонт
21,Октябрьский,"10,00",3776,755,34,4,нет,нет,да,2,Верхний,2,нет,да,да,2000,евроремонт
22,Октябрьский,"9,30",3362,672,35,4,нет,да,да,2,Верхний,2,нет,да,да,2500,евроремонт
23,Октябрьский,"9,10",2500,500,32,2,нет,нет,да,1,Нижний,1,нет,да,да,1000,евроремонт
24,Октябрьский,"9,40",2500,500,28,2,нет,да,да,1,Нижний,1,да,да,да,1000,евроремонт
25,Октябрьский,"10,00",2970,743,20,2,нет ,да,нет,1,Нижний,1,да,нет,нет,1000,косметический
26,Октябрьский,"6,00",2250,450,40,3,да,нет,нет,2,Нижний,1,да,нет,нет,1000,косметический
27,Октябрьский,"8,60",2700,540,35,3,нет,да,да,2,Нижний,2,да,да,да,1000,евроремонт
28,Октябрьский,"9,80",2600,520,44,4,нет,да,да,2,Нижний,2,нет,да,да,1000,евроремонт
29,Октябрьский,"10,00",3300,660,25,2,нет,да,нет,1,Нижний,1,да,нет,нет,2000,косметический
31,Октябрьский,"9,60",4000,1000,50,4,нет,да,да,2,Нижний,1,да,да,да,2000,евроремонт
32,Октябрьский,"9,70",3000,600,40,4,нет,да,да,2,Нижний,2,нет,да,да,2000,евроремонт
34,Октябрьский,"10,00",3600,720,40,4,нет,да,да,2,Нижний,2,нет,да,да,2000,евроремонт
35,Октябрьский,"9,90",3000,600,64,4,нет,нет,да,3,Средний,3,да,да,да,1000,евроремонт
36,Октябрьский,"10,00",3661,915,36,3,нет,да,да,2,Средний,2,нет,да,да,1500,евроремонт
37,Октябрьский,"9,00",2050,900,33,4,да,да,да,2,Средний,2,да,да,да,2000,евроремонт
38,Октябрьский,"9,40",2500,500,45,4,нет,да,да,2,Средний,2,да,да,да,2000,евроремонт
39,Октябрьский,"9,60",4000,1000,50,4,нет,да,да,2,Средний,2,да,да,да,2000,евроремонт
40,Октябрьский,"9,90",4420,1105,58,4,нет,да,да,2,Средний,2,нет,да,да,2000,евроремонт
41,Октябрьский,"10,00",3800,760,35,4,нет,да,да,2,Средний,2,да,да,да,3000,евроремонт
42,Правобережный,"9,00",4500,1500,42,2,нет,нет,да,1,Верхний,1,да,да,нет,1000,евроремонт
43,Правобережный,"9,20",3500,700,39,2,нет,нет,нет,2,Верхний,1,да,нет,нет,1000,косметический
44,Правобережный,"9,00",2500,375,41,3,нет,нет,да,6,Верхний,3,да,да,нет,1000,евроремонт
45,Правобережный,"9,90",2400,360,40,3,нет,нет,да,4,Верхний,2,да,да,да,1000,евроремонт
46,Правобережный,"8,90",2200,330,40,4,нет,нет,да,4,Верхний,2,да,да,нет,1000,евроремонт
48,Правобережный,"8,50",2200,440,27,4,да,нет,да,4,Верхний,2,да,да,да,2000,евроремонт
49,Правобережный,"10,00",3800,760,43,4,нет,нет,да,2,Верхний,2,да,да,нет,2000,евроремонт
50,Правобережный,"8,50",2500,625,36,2,нет,нет,да,1,Нижний,1,нет,да,нет,1000,евроремонт
51,Правобережный,"9,90",2700,540,40,2,да,нет,да,3,Нижний,2,да,да,да,1000,евроремонт
52,Правобережный,"10,00",3750,940,20,2,нет,нет,нет,2,Нижний,1,нет,нет,нет,1000,косметический
54,Правобережный,"10,00",3000,450,32,2,да,нет,да,2,Нижний,2,да,да,нет,1000,евроремонт
55,Правобережный,"9,00",2875,720,30,4,нет,нет,да,4,Нижний,2,да,да,нет,1000,косметический
56,Правобережный,"9,50",2500,375,44,4,нет,нет,нет,2,Нижний,2,нет,нет,нет,1000,косметический
57,Правобережный,"9,60",2600,520,28,4,нет,нет,нет,4,Нижний,2,да,нет,нет,1000,косметический
58,Правобережный,"9,80",2380,360,40,4,да,нет,да,4,Нижний,2,нет,да,нет,1500,евроремонт
59,Правобережный,"10,00",3000,600,40,4,нет,нет,нет,4,Нижний,2,да,нет,нет,1500,косметический
60,Правобережный,"9,40",2645,397,20,2,нет,нет,нет,1,Нижний,1,нет,нет,нет,2000,косметический
62,Правобережный,"9,70",2200,440,25,2,нет,нет,нет,2,Нижний,1,нет,нет,нет,2000,косметический
